mal_id,name,score,genres,english_name,japanese_name,type,episodes,aired,premiered,producers,licensors,studios,source,duration,rating,ranked,popularity,members,favorites,watching,completed,on_hold,dropped,plan_to_watch,score_10,score_9,score_8,score_7,score_6,score_5,score_4,score_3,score_2,score_1,aired_start,aired_end,is_outlier,weighted_score,drop_ratio,score_category,main_studio,studio_tier,year,decade,n_genres,main_genre,engagement_ratio
31804,Kuma Miko,6.3,"Slice of Life, Comedy, Seinen",Kumamiko:Girl Meets Bear,くまみこ,TV,12.0,"Apr 3, 2016 to Jun 19, 2016",Spring 2016,"AT-X, Sony Music Communications",Funimation,"Kinema Citrus, EMT Squared",Manga,24 min. per ep.,PG-13 - Teens 13 or older,6888.0,1893,65017,83,5234,30450,3136,8135,18062,764.0,1241.0,3833.0,7604.0,6372.0,3923.0,2108.0,992.0,456.0,370.0,2016-04-03,2016-06-19,False,30.32,0.2108,Moyen,Kinema Citrus,Mid,2016.0,2010.0,3.0,Slice of Life,0.0013
31807,Sugio: Mori de Koi wo Shite,5.46,Comedy,,SUGIO~森林で恋をして~,ONA,3.0,"Sep 27, 2015",,,,DLE,Original,4 min. per ep.,G - All Ages,9793.0,12934,362,0,13,202,5,42,100,12.0,,6.0,16.0,37.0,34.0,17.0,15.0,7.0,8.0,2015-09-27,,False,13.98,0.1721,Moyen,DLE,Top,2015.0,2010.0,1.0,Comedy,0.0
31810,Amakano,6.87,Hentai,,アマカノ,OVA,4.0,"Feb 5, 2016 to Jan 6, 2017",,Mary Jane,,,Visual novel,14 min. per ep.,Rx - Hentai,,4681,11351,80,1480,5690,649,493,3039,435.0,355.0,767.0,1106.0,808.0,464.0,171.0,83.0,37.0,53.0,2016-02-05,2017-01-06,False,27.86,0.0797,Bon,,,2016.0,2010.0,1.0,Hentai,0.007
31812,Kuroshitsuji Movie: Book of the Atlantic,8.26,"Action, Mystery, Comedy, Historical, Demons, Supernatural, Shounen",Black Butler:Book of the Atlantic,劇場版 黒執事 Book of the Atlantic,Movie,1.0,"Jan 21, 2017",,"Aniplex, WOWOW, Square Enix, Mainichi Broadcasting System, Movic, Hakuhodo DY Music & Pictures, Lawson, Kinoshita Group Holdings",Funimation,A-1 Pictures,Manga,1 hr. 40 min.,R - 17+ (violence & profanity),258.0,1110,134015,1251,3092,81848,1120,609,47346,12700.0,14108.0,16284.0,9546.0,3318.0,1194.0,428.0,145.0,74.0,292.0,2017-01-21,,False,42.35,0.0074,Excellent,A-1 Pictures,Top,2017.0,2010.0,7.0,Action,0.0093
31815,"Kono Danshi, Mahou ga Oshigoto Desu.",7.04,"Magic, Fantasy, Shounen Ai",This Boy is a Professional Wizard,この男子、魔法がお仕事です。,TV,4.0,"Feb 5, 2016 to Feb 26, 2016",Winter 2016,,,CoMix Wave Films,Original,7 min. per ep.,PG-13 - Teens 13 or older,3497.0,3475,22151,63,581,15509,247,585,5229,867.0,1152.0,2239.0,3093.0,1903.0,957.0,374.0,165.0,103.0,93.0,2016-02-05,2016-02-26,False,30.59,0.0363,Bon,CoMix Wave Films,Mid,2016.0,2010.0,3.0,Magic,0.0028
31821,Arslan Senki (TV): Fuujin Ranbu,7.53,"Action, Adventure, Historical, Supernatural, Drama, Fantasy, Shounen",The Heroic Legend of Arslan:Dust Storm Dance,アルスラーン戦記 風塵乱舞,TV,8.0,"Jul 3, 2016 to Aug 21, 2016",Summer 2016,"Mainichi Broadcasting System, Magic Capsule, Ultra Super Pictures, Graphinica, NBCUniversal Entertainment Japan",Funimation,LIDENFILMS,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1484.0,1252,116095,184,5231,84300,2382,1842,22340,4147.0,8660.0,20825.0,19764.0,6854.0,2420.0,860.0,274.0,104.0,78.0,2016-07-03,2016-08-21,False,38.14,0.0214,Bon,LIDENFILMS,Mid,2016.0,2010.0,7.0,Action,0.0016
31827,Comet Lucifer: Garden Indigo no Shasou kara,6.05,"Adventure, Comedy, Fantasy",,ガーデン・インディゴの車窓から,ONA,12.0,"Jan 29, 2016 to Jun 24, 2016",,I was a Ballerina,,,Original,2 min. per ep.,G - All Ages,8013.0,6582,4797,2,346,1434,200,216,2601,50.0,39.0,96.0,187.0,224.0,139.0,70.0,35.0,32.0,27.0,2016-01-29,2016-06-24,False,22.27,0.1309,Moyen,,,2016.0,2010.0,3.0,Adventure,0.0004
31829,Sinbad: Mahou no Lamp to Ugoku Shima,6.24,Adventure,,シンドバッド 魔法のランプと動く島,Movie,1.0,"Jan 16, 2016",,,,Nippon Animation,Original,49 min.,G - All Ages,7182.0,9772,1383,0,46,484,18,55,780,15.0,11.0,37.0,86.0,103.0,49.0,25.0,7.0,3.0,6.0,2016-01-16,,False,19.6,0.102,Moyen,Nippon Animation,Top,2016.0,2010.0,1.0,Adventure,0.0
31830,Lilac (Bombs Jun Togawa),5.75,Music,,lilac (bombs 戸川純 ),Music,1.0,"Sep 27, 2015",,Virgin Babylon Records,,Onionskin,,4 min.,PG - Children,9009.0,11383,670,1,14,560,4,18,74,11.0,13.0,32.0,63.0,94.0,92.0,37.0,18.0,15.0,15.0,2015-09-27,,False,16.25,0.0311,Moyen,Onionskin,Mid,2015.0,2010.0,1.0,Music,0.0015
31831,Fantasy,5.01,,,FANTASY,Movie,1.0,2012,,,,,Original,1 min.,PG-13 - Teens 13 or older,10600.0,12026,522,1,8,408,4,23,79,6.0,5.0,9.0,15.0,55.0,75.0,44.0,29.0,23.0,26.0,,,False,13.62,0.0534,Moyen,,,,,,,0.0019
31832,Zawazawa,4.67,,,ZAWAZAWA,Movie,1.0,2013,,,,,Original,1 min.,PG-13 - Teens 13 or older,10863.0,11784,578,1,7,472,5,30,64,7.0,3.0,10.0,19.0,47.0,65.0,45.0,37.0,51.0,47.0,,,False,12.9,0.0598,Mauvais,,,,,,,0.0017
31833,Metamorphose,5.02,,,METAMORPHOSE,Movie,1.0,"Aug 2, 2013",,,,,,2 min.,G - All Ages,10575.0,12411,447,0,15,311,3,26,92,7.0,1.0,2.0,21.0,32.0,56.0,29.0,19.0,23.0,20.0,2013-08-02,,False,13.31,0.0772,Moyen,,,2013.0,2010.0,,,0.0
31834,Mormorando,5.31,,,モルモランド,Movie,1.0,"Sep 16, 2014",,,,,Original,4 min.,G - All Ages,10128.0,12447,445,0,12,337,4,26,66,7.0,7.0,9.0,23.0,36.0,69.0,31.0,16.0,22.0,20.0,2014-09-16,,False,14.07,0.0716,Moyen,,,2014.0,2010.0,,,0.0
31838,Ze Tian Ji,6.9,"Action, Adventure, Fantasy",,择天记,ONA,13.0,"Jul 15, 2015 to Dec 23, 2015",,"Tencent Penguin Pictures, China Literature Limited",,Shanghai Foch Film Culture Investment,Novel,15 min. per ep.,PG-13 - Teens 13 or older,4053.0,6300,5360,26,583,2088,142,238,2309,120.0,90.0,276.0,519.0,300.0,142.0,43.0,31.0,17.0,15.0,2015-07-15,2015-12-23,False,25.73,0.1023,Bon,Shanghai Foch Film Culture Investment,Mid,2015.0,2010.0,3.0,Action,0.0049
31845,Masou Gakuen HxH,6.18,"Action, Sci-Fi, Harem, Comedy, Romance, Ecchi, Fantasy, School",Hybrid x Heart Magias Academy Ataraxia,魔装学園H×H,TV,12.0,"Jul 6, 2016 to Sep 21, 2016",Summer 2016,"Kadokawa Shoten, AT-X, DAX Production, KBS, KlockWorx, flying DOG, Kadokawa Media House, Sun TV, TV Saitama, Chiba TV","Funimation, Crunchyroll",Production IMS,Light novel,24 min. per ep.,R+ - Mild Nudity,7463.0,717,205337,592,16086,118431,5663,16167,48990,6407.0,5014.0,10241.0,19593.0,20143.0,13129.0,7991.0,4675.0,3429.0,2829.0,2016-07-06,2016-09-21,False,32.83,0.1201,Moyen,Production IMS,Mid,2016.0,2010.0,8.0,Action,0.0029
31846,Puzzle & Dragons CM,5.85,"Game, School",Puzzle & Dragons CM,パズル＆ドラゴンズ CM,ONA,2.0,"Oct 12, 2015 to Jan 24, 2016",,,,Studio Colorido,Other,37 sec. per ep.,G - All Ages,8678.0,9166,1757,4,48,1170,28,41,470,26.0,22.0,65.0,154.0,187.0,170.0,42.0,47.0,27.0,16.0,2015-10-12,2016-01-24,False,18.98,0.0339,Moyen,Studio Colorido,Mid,2015.0,2010.0,2.0,Game,0.0023
31848,Ojisan to Marshmallow,6.6,"Slice of Life, Comedy, Romance",Ojisan and Marshmallow,おじさんとマシュマロ,TV,12.0,"Jan 8, 2016 to Mar 25, 2016",Winter 2016,"DAX Production, Dream Creation",,Creators in Pack,Web manga,3 min. per ep.,PG-13 - Teens 13 or older,5348.0,2168,53706,62,2667,37829,1117,2457,9636,1199.0,1613.0,4496.0,9105.0,7325.0,3913.0,1253.0,573.0,277.0,183.0,2016-01-08,2016-03-25,False,31.22,0.061,Bon,Creators in Pack,Mid,2016.0,2010.0,3.0,Slice of Life,0.0012
31851,Dog Days'': Limone Resort Tenbou Onsen!,6.55,"Ecchi, Fantasy, Magic",,ドッグデイズ'' Episode 12.5「リモーネリゾート・展望温泉！」,Special,1.0,"Aug 26, 2015",,,,Seven Arcs Pictures,Original,11 min.,PG-13 - Teens 13 or older,5636.0,5819,6582,5,293,3399,141,114,2635,163.0,107.0,249.0,515.0,505.0,270.0,92.0,40.0,17.0,32.0,2015-08-26,,False,25.01,0.0325,Bon,Seven Arcs Pictures,Mid,2015.0,2010.0,3.0,Ecchi,0.0008
31853,Biohazard: Vendetta,7.06,"Action, Horror, Sci-Fi",Resident Evil:Vendetta,バイオハザード ヴェンデッタ,Movie,1.0,"May 27, 2017",,,,Marza Animation Planet,Game,1 hr. 36 min.,R - 17+ (violence & profanity),3380.0,4151,15020,38,211,10218,95,108,4388,561.0,789.0,1740.0,2346.0,1254.0,637.0,278.0,128.0,59.0,31.0,2017-05-27,,False,29.49,0.0105,Bon,Marza Animation Planet,Mid,2017.0,2010.0,3.0,Action,0.0025
31859,Hai to Gensou no Grimgar,7.69,"Action, Adventure, Drama, Fantasy",Grimgar:Ashes and Illusions,灰と幻想のグリムガル,TV,12.0,"Jan 11, 2016 to Mar 28, 2016",Winter 2016,TOHO animation,Funimation,A-1 Pictures,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,1061.0,215,537777,4870,31261,355785,13302,20498,116931,28077.0,51879.0,89168.0,67386.0,27421.0,12564.0,5772.0,2457.0,1212.0,838.0,2016-01-11,2016-03-28,False,44.07,0.0545,Bon,A-1 Pictures,Top,2016.0,2010.0,4.0,Action,0.0091
31861,Tenchi Muyou! Ryououki 4th Season,6.67,"Action, Sci-Fi, Harem, Space, Comedy, Shounen",,天地無用！魎皇鬼 第四期,OVA,4.0,"Nov 30, 2016 to Sep 13, 2017",,,,AIC,Original,29 min. per ep.,PG-13 - Teens 13 or older,5039.0,6219,5543,10,447,2010,130,126,2830,132.0,102.0,222.0,412.0,290.0,176.0,82.0,29.0,28.0,15.0,2016-11-30,2017-09-13,False,24.97,0.059,Bon,AIC,Top,2016.0,2010.0,6.0,Action,0.0018
31865,Kare Baka: Wagahai no Kare wa Baka de R,5.88,"Comedy, Romance, School",,カレバカ～吾輩ノ彼ハ馬鹿でR～,ONA,8.0,"Oct 16, 2015 to Jan 22, 2016",,,,Sakura Create,Manga,5 min. per ep.,PG-13 - Teens 13 or older,8590.0,5529,7437,10,549,3885,257,467,2279,104.0,107.0,255.0,595.0,831.0,632.0,299.0,134.0,86.0,64.0,2015-10-16,2016-01-22,False,22.76,0.1073,Moyen,Sakura Create,Indie,2015.0,2010.0,3.0,Comedy,0.0013
31866,Last Exile: Ginyoku no Fam Movie - Over the Wishes,6.41,"Action, Adventure, Sci-Fi","Last Exile:Fam, the Silver Wing - Over the Wishes",劇場版 LASTEXILE 銀翼のファム Over the Wishes,Movie,1.0,"Feb 6, 2016",,,,Gonzo,Original,1 hr. 59 min.,PG-13 - Teens 13 or older,6374.0,7247,3763,3,166,729,87,95,2686,29.0,22.0,52.0,125.0,105.0,62.0,31.0,6.0,8.0,6.0,2016-02-06,,False,22.92,0.1153,Moyen,Gonzo,Top,2016.0,2010.0,3.0,Action,0.0008
31867,Shoujo-tachi wa Kouya wo Mezasu: Iubeki Monokashira,6.35,School,,少女たちは荒野を目指す 言うべきものかしら,OVA,1.0,"Mar 25, 2016",,Project No.9,,,Visual novel,23 min.,PG-13 - Teens 13 or older,6624.0,4687,11251,9,284,6875,128,116,3848,178.0,170.0,513.0,1255.0,1284.0,659.0,238.0,94.0,55.0,35.0,2016-03-25,,False,25.73,0.0166,Moyen,,,2016.0,2010.0,1.0,School,0.0008
31868,Bug tte Honey: Megarom Shoujo Mai 4622,,"Adventure, Comedy",,Bugってハニー メガロム少女舞4622,Movie,1.0,"Jul 21, 1987",,Tokyo Movie Shinsha,,,Game,48 min.,G - All Ages,13525.0,14321,237,0,9,55,2,44,127,5.0,1.0,1.0,5.0,2.0,7.0,,2.0,5.0,4.0,1987-07-21,,False,,0.4444,,,,1987.0,1980.0,2.0,Adventure,0.0
31872,Yukidaruma Kazoku,,"Music, Kids",,ゆきだるまかぞく,Music,1.0,"Dec 1, 2014",,NHK,,,Original,2 min.,G - All Ages,13025.0,15882,143,0,7,70,3,31,32,5.0,,1.0,3.0,6.0,13.0,12.0,6.0,2.0,4.0,2014-12-01,,False,,0.3069,,,,2014.0,2010.0,2.0,Music,0.0
31873,Kuro,,"Music, Kids",,クロ,Music,1.0,"Dec 1, 2005",,NHK,,Creatures Inc.,Original,4 min.,G - All Ages,15213.0,14814,207,1,8,133,2,22,42,6.0,2.0,3.0,16.0,17.0,22.0,10.0,6.0,5.0,7.0,2005-12-01,,False,,0.1419,,Creatures Inc.,Indie,2005.0,2000.0,2.0,Music,0.0048
31874,2002-nen Halmeoni Ondo,4.96,"Music, Kids",,2002年ばあちゃん（ハルモニ）音頭,Music,1.0,"Apr 4, 2002",,NHK,,,Original,2 min.,G - All Ages,10608.0,12858,367,0,8,256,4,43,56,14.0,1.0,2.0,7.0,26.0,41.0,24.0,18.0,21.0,17.0,2002-04-04,,False,12.73,0.1438,Mauvais,,,2002.0,2000.0,2.0,Music,0.0
31878,Mukashi Toilet ga Kowakatta!,,"Music, Kids",,むかしトイレがこわかった！,Music,1.0,"Aug 3, 2000",,NHK,,,Original,2 min.,G - All Ages,15694.0,15581,162,0,7,87,2,22,44,7.0,,1.0,1.0,7.0,12.0,13.0,6.0,4.0,7.0,2000-08-03,,False,,0.2018,,,,2000.0,2000.0,2.0,Music,0.0
31880,B Who I Want 2 B,5.51,Music,,安室奈美恵 / 「B Who I Want 2 B feat. HATSUNE MIKU」,Music,1.0,"Oct 13, 2015",,Avex Entertainment,,,Music,3 min.,G - All Ages,9652.0,9494,1538,3,21,1269,11,22,215,46.0,33.0,61.0,126.0,160.0,231.0,97.0,61.0,47.0,44.0,2015-10-13,,False,17.56,0.017,Moyen,,,2015.0,2010.0,1.0,Music,0.002
31882,Bokura Machi Bouzu!,,"Music, Kids",,ぼくらまちボウズ！,Music,1.0,"Oct 2, 1998",,NHK,,,Original,2 min.,G - All Ages,13485.0,15573,160,0,5,87,2,33,33,5.0,,1.0,8.0,4.0,11.0,9.0,7.0,6.0,9.0,1998-10-02,,False,,0.275,,,,1998.0,1990.0,2.0,Music,0.0
31883,Bakuon!! OVA,6.4,"Cars, Seinen, Slice of Life, Sports",,ばくおん！！OAD,OVA,2.0,"Mar 18, 2016 to Dec 20, 2016",,,,TMS Entertainment,Manga,23 min. per ep.,PG-13 - Teens 13 or older,6405.0,5320,8148,8,816,4203,582,404,2143,156.0,176.0,462.0,1096.0,1084.0,493.0,212.0,95.0,48.0,29.0,2016-03-18,2016-12-20,False,25.03,0.0877,Moyen,TMS Entertainment,Top,2016.0,2010.0,4.0,Cars,0.001
31884,Mahoutsukai Precure!,7.08,"Action, Slice of Life, Magic, Fantasy, School, Shoujo",Maho Girls Precure!,魔法つかいプリキュア！,TV,50.0,"Feb 7, 2016 to Jan 29, 2017",Winter 2016,ABC Animation,,Toei Animation,Original,24 min. per ep.,G - All Ages,3314.0,5006,9476,63,1292,3098,784,753,3549,289.0,291.0,549.0,820.0,514.0,285.0,106.0,42.0,16.0,37.0,2016-02-07,2017-01-29,False,28.15,0.1955,Bon,Toei Animation,Top,2016.0,2010.0,6.0,Action,0.0066
31885,Majuu Jouka Shoujo Utea,6.73,Hentai,,魔獣浄化少女ウテア,OVA,4.0,"Dec 11, 2015 to Jun 9, 2017",,"EDGE, Cloud22",,T-Rex,Manga,16 min. per ep.,Rx - Hentai,,6216,5548,49,937,2798,332,242,1239,254.0,193.0,360.0,549.0,389.0,251.0,104.0,55.0,41.0,47.0,2015-12-11,2017-06-09,False,25.2,0.0796,Bon,T-Rex,Mid,2015.0,2010.0,1.0,Hentai,0.0088
31886,Dropout,6.86,"Hentai, School",,ドロップアウト,OVA,2.0,"Feb 26, 2016 to Mar 25, 2016",,"EDGE, Cloud22",,,Manga,17 min. per ep.,Rx - Hentai,,3403,23073,269,2044,16324,786,735,3184,1623.0,1230.0,2080.0,2816.0,1880.0,1161.0,596.0,342.0,255.0,262.0,2016-02-26,2016-03-25,False,29.93,0.0431,Bon,,,2016.0,2010.0,2.0,Hentai,0.0117
